x y color
540235 6656231 3
540285 6656231 2
540335 6656231 2
540385 6656231 2
540435 6656231 2
540485 6656231 2
540535 6656231 2
540585 6656231 2
540635 6656231 2
540685 6656231 2
540735 6656231 2
540785 6656231 2
540835 6656231 2
540885 6656231 2
540935 6656231 2
540985 6656231 2
541035 6656231 1
541085 6656231 1
541135 6656231 1
541185 6656231 1
541235 6656231 1
540235 6656541 3
540285 6656541 3
540335 6656541 3
540385 6656541 3
540435 6656541 3
540485 6656541 3
540535 6656541 3
540585 6656541 3
540635 6656541 2
540685 6656541 2
540735 6656541 2
540785 6656541 1
540835 6656541 2
540885 6656541 2
540935 6656541 2
540985 6656541 2
541035 6656541 2
541085 6656541 2
541135 6656541 2
541185 6656541 2
541235 6656541 2
540235 6656851 1
540285 6656851 1
540335 6656851 1
540385 6656851 1
540435 6656851 1
540485 6656851 3
540535 6656851 3
540585 6656851 3
540635 6656851 2
540685 6656851 2
540735 6656851 2
540785 6656851 2
540835 6656851 2
540885 6656851 3
540935 6656851 3
540985 6656851 3
541035 6656851 3
541085 6656851 3
541135 6656851 3
541185 6656851 3
541235 6656851 2
540331 6656135 2
540331 6656185 2
540331 6656235 2
540331 6656285 2
540331 6656335 3
540331 6656385 3
540331 6656435 3
540331 6656485 3
540331 6656535 3
540331 6656585 3
540331 6656635 3
540331 6656685 3
540331 6656735 3
540331 6656785 3
540331 6656835 1
540331 6656885 1
540331 6656935 1
540331 6656985 1
540331 6657035 2
540331 6657085 2
540331 6657135 2
540641 6656135 2
540641 6656185 2
540641 6656235 2
540641 6656285 2
540641 6656335 2
540641 6656385 1
540641 6656435 2
540641 6656485 2
540641 6656535 2
540641 6656585 2
540641 6656635 2
540641 6656685 2
540641 6656735 2
540641 6656785 2
540641 6656835 2
540641 6656885 2
540641 6656935 3
540641 6656985 1
540641 6657035 1
540641 6657085 1
540641 6657135 1
540951 6656135 2
540951 6656185 2
540951 6656235 2
540951 6656285 2
540951 6656335 1
540951 6656385 1
540951 6656435 1
540951 6656485 2
540951 6656535 2
540951 6656585 1
540951 6656635 2
540951 6656685 2
540951 6656735 2
540951 6656785 2
540951 6656835 3
540951 6656885 3
540951 6656935 3
540951 6656985 2
540951 6657035 2
540951 6657085 2
540951 6657135 2
