x y color
540236 6.65623e+06 2
540288 6.65623e+06 2
540338 6.65623e+06 2
540390 6.65623e+06 2
540440 6.65623e+06 2
540492 6.65623e+06 2
540542 6.65623e+06 2
540594 6.65623e+06 2
540644 6.65623e+06 2
540696 6.65623e+06 2
540746 6.65623e+06 2
540798 6.65623e+06 2
540848 6.65623e+06 2
540900 6.65623e+06 2
540950 6.65623e+06 2
541002 6.65623e+06 1
541052 6.65623e+06 1
541104 6.65623e+06 1
541154 6.65623e+06 1
541206 6.65623e+06 1
541256 6.65623e+06 1
540236 6.65654e+06 3
540288 6.65654e+06 3
540338 6.65654e+06 3
540390 6.65654e+06 3
540440 6.65654e+06 3
540492 6.65654e+06 3
540542 6.65654e+06 3
540594 6.65654e+06 3
540644 6.65654e+06 2
540696 6.65654e+06 2
540746 6.65654e+06 2
540798 6.65654e+06 2
540848 6.65654e+06 2
540900 6.65654e+06 2
540950 6.65654e+06 2
541002 6.65654e+06 2
541052 6.65654e+06 2
541104 6.65654e+06 2
541154 6.65654e+06 2
541206 6.65654e+06 2
541256 6.65654e+06 2
540236 6.65685e+06 1
540288 6.65685e+06 1
540338 6.65685e+06 1
540390 6.65685e+06 1
540440 6.65685e+06 1
540492 6.65685e+06 1
540542 6.65685e+06 3
540594 6.65685e+06 3
540644 6.65685e+06 3
540696 6.65685e+06 3
540746 6.65685e+06 3
540798 6.65685e+06 2
540848 6.65685e+06 2
540900 6.65685e+06 3
540950 6.65685e+06 3
541002 6.65685e+06 3
541052 6.65685e+06 3
541104 6.65685e+06 3
541154 6.65685e+06 3
541206 6.65685e+06 3
541256 6.65685e+06 2
540332 6.65614e+06 2
540332 6.65619e+06 3
540332 6.65624e+06 3
540332 6.65629e+06 3
540332 6.65634e+06 3
540332 6.65639e+06 3
540332 6.65644e+06 3
540332 6.65649e+06 3
540332 6.65654e+06 3
540332 6.6566e+06 3
540332 6.65665e+06 3
540332 6.6567e+06 3
540332 6.65675e+06 3
540332 6.6568e+06 3
540332 6.65685e+06 2
540332 6.6569e+06 2
540332 6.65695e+06 2
540332 6.657e+06 2
540332 6.65705e+06 2
540332 6.65711e+06 2
540642 6.65614e+06 2
540642 6.65619e+06 2
540642 6.65624e+06 2
540642 6.65629e+06 2
540642 6.65634e+06 2
540642 6.65639e+06 2
540642 6.65644e+06 2
540642 6.65649e+06 2
540642 6.65654e+06 2
540642 6.6566e+06 3
540642 6.65665e+06 3
540642 6.6567e+06 3
540642 6.65675e+06 3
540642 6.6568e+06 3
540642 6.65685e+06 3
540642 6.6569e+06 3
540642 6.65695e+06 2
540642 6.657e+06 2
540642 6.65705e+06 2
540642 6.65711e+06 1
540952 6.65614e+06 2
540952 6.65619e+06 2
540952 6.65624e+06 2
540952 6.65629e+06 2
540952 6.65634e+06 2
540952 6.65639e+06 2
540952 6.65644e+06 2
540952 6.65649e+06 2
540952 6.65654e+06 2
540952 6.6566e+06 2
540952 6.65665e+06 2
540952 6.6567e+06 2
540952 6.65675e+06 2
540952 6.6568e+06 2
540952 6.65685e+06 3
540952 6.6569e+06 3
540952 6.65695e+06 2
540952 6.657e+06 2
540952 6.65705e+06 2
540952 6.65711e+06 2
