x	y	color
490659.62	7053919.51353064	1
490659.62	7054554.22	1
492208.792829358	7054554.22	1
492208.792829358	7053919.51353064	1
490659.62	7053919.51353064	1
490930.116414491	7054229.22070427	2
490930.12	7054229.29366751	2
490930.12	7054230.22	2
490930.13444582	7054230.51405142	2
490930.177644159	7054230.80527097	2
490930.249178993	7054231.09085403	2
490930.348361402	7054231.3680503	2
490930.474236207	7054231.63419021	2
490930.625591163	7054231.8867107	2
490930.80096864	7054232.12317985	2
490930.998679656	7054232.34132034	2
490931.216820148	7054232.53903136	2
490931.453289301	7054232.71440884	2
490931.70580979	7054232.86576379	2
490931.971949703	7054232.9916386	2
490932.249145968	7054233.09082101	2
490932.534729034	7054233.16235584	2
490932.825948579	7054233.20555418	2
490933.12	7054233.22	2
490933.29539	7054233.22	2
490933.578170356	7054233.20664281	2
490933.85843261	7054233.16669018	2
490934.133681087	7054233.10049788	2
490934.401464754	7054233.00865535	2
490934.659399054	7054232.89198041	2
490934.905187134	7054232.75151204	2
490935.136640303	7054232.58850107	2
490935.351697518	7054232.40439909	2
490935.548443738	7054232.20084549	2
490935.725126979	7054231.97965287	2
490935.880173913	7054231.7427909	2
490936.01220388	7054231.49236879	2
490936.12004118	7054231.2306165	2
490936.122674398	7054231.22325671	2
490936.194205812	7054231.21264809	2
490936.338843823	7054231.19839879	2
490936.62758589	7054231.14095739	2
490936.909307509	7054231.05549146	2
490937.181295655	7054230.94282405	2
490937.440931035	7054230.80404017	2
490937.685713319	7054230.64047633	2
490937.913285212	7054230.45370768	2
490938.121455159	7054230.24553283	2
490938.308218448	7054230.01795654	2
490938.471776519	7054229.7731704	2
490938.610554279	7054229.51353175	2
490938.723215277	7054229.24154095	2
490938.808674567	7054228.95981731	2
490938.866109163	7054228.67107389	2
490938.89496596	7054228.37809133	2
490938.894967062	7054228.0836911	2
490938.866112459	7054227.79070832	2
490938.808680025	7054227.50196447	2
490938.723222844	7054227.2202402	2
490938.610563883	7054226.94824856	2
490938.471788066	7054226.68860887	2
490938.308231828	7054226.4438215	2
490938.123997598	7054226.21932351	2
490938.123030567	7054226.21801964	2
490938.096043143	7054226.17299071	2
490937.932480927	7054225.92818726	2
490937.745710548	7054225.70059518	2
490937.53753084	7054225.49240648	2
490937.309946834	7054225.30562627	2
490937.065150451	7054225.14205348	2
490936.805499389	7054225.00326352	2
490936.533494413	7054224.89059312	2
490936.251755275	7054224.80512743	2
490935.962995476	7054224.74768959	2
490935.669996137	7054224.7188328	2
490935.620878437	7054224.71642008	2
490935.494072405	7054224.65644603	2
490935.222077811	7054224.5437836	2
490934.940350146	7054224.45832364	2
490934.65160257	7054224.40088916	2
490934.358615845	7054224.37203328	2
490934.064211561	7054224.3720339	2
490933.771224958	7054224.40089101	2
490933.482477623	7054224.4583267	2
490933.200750317	7054224.54378785	2
490932.928756197	7054224.65645142	2
490932.669114682	7054224.79523242	2
490932.424326233	7054224.95879433	2
490932.196748268	7054225.14556197	2
490932.118105499	7054225.21683929	2
490932.062487711	7054225.2367389	2
490931.895151292	7054225.28751191	2
490931.623176638	7054225.40018689	2
490931.363554984	7054225.53897616	2
490931.118786367	7054225.70254323	2
490930.891227795	7054225.88931304	2
490930.683070554	7054226.09748707	2
490930.496319102	7054226.3250607	2
490930.332771769	7054226.56984251	2
490930.194003442	7054226.82947536	2
490930.081350395	7054227.1014591	2
490929.995897426	7054227.38317465	2
490929.938467407	7054227.67190923	2
490929.909613363	7054227.96488245	2
490929.909613145	7054228.25927312	2
490929.938466755	7054228.55224638	2
490929.995896347	7054228.84098104	2
490930.0813489	7054229.12269672	2
490930.116414491	7054229.22070427	2
491404.293092142	7053997.68855103	3
491404.4318513	7053997.94813349	3
491404.595380586	7053998.19286872	3
491404.616442154	7053998.22126718	3
491404.62	7053998.29366751	3
491404.62	7053999.48872	3
491404.636305941	7053999.80108159	3
491404.685046509	7054000.11004762	3
491404.765691863	7054000.41225942	3
491404.877365337	7054000.70443177	3
491405.018852971	7054000.98338857	3
491405.188616706	7054001.24609739	3
491405.384811103	7054001.48970241	3
491405.605303405	7054001.71155549	3
491405.617028921	7054001.72218307	3
491405.639964286	7054001.77067757	3
491405.778748852	7054002.03033268	3
491405.942316756	7054002.27513355	3
491406.129092621	7054002.50272245	3
491406.33727755	7054002.71090738	3
491406.564866444	7054002.89768324	3
491406.809667322	7054003.06125115	3
491407.069322426	7054003.20003571	3
491407.117464425	7054003.22280436	3
491407.158167023	7054003.29071626	3
491407.3217177	7054003.53550089	3
491407.508473077	7054003.76307675	3
491407.716634735	7054003.97125232	3
491407.944198115	7054004.1580229	3
491408.188971823	7054004.32158993	3
491408.448598734	7054004.46037829	3
491408.720578689	7054004.57305147	3
491409.00229257	7054004.65852446	3
491409.291027526	7054004.71597415	3
491409.584003091	7054004.74484733	3
491409.878397965	7054004.74486594	3
491410.068552137	7054004.72615025	3
491410.169996151	7054004.7211672	3
491410.462995488	7054004.69231041	3
491410.751755285	7054004.63487257	3
491411.033494421	7054004.54940688	3
491411.305499394	7054004.43673647	3
491411.565150454	7054004.29794652	3
491411.809946835	7054004.13437373	3
491412.037530839	7054003.94759352	3
491412.245710547	7054003.73940482	3
491412.432480925	7054003.51181275	3
491412.596043139	7054003.2670093	3
491412.622109947	7054003.22351643	3
491412.693667503	7054003.22	3
491414.12	7054003.22	3
491414.414051421	7054003.20555418	3
491414.705270966	7054003.16235584	3
491414.990854032	7054003.09082101	3
491415.268050297	7054002.9916386	3
491415.53419021	7054002.86576379	3
491415.786710699	7054002.71440884	3
491416.023179852	7054002.53903136	3
491416.241320344	7054002.34132034	3
491416.43903136	7054002.12317985	3
491416.614408837	7054001.8867107	3
491416.765763793	7054001.63419021	3
491416.891638598	7054001.3680503	3
491416.990821007	7054001.09085403	3
491417.062355841	7054000.80527097	3
491417.10555418	7054000.51405142	3
491417.12	7054000.22	3
491417.12	7053999.29366751	3
491417.123547871	7053999.22147018	3
491417.14054204	7053999.20272041	3
491417.327314842	7053998.97514185	3
491417.490881521	7053998.7303521	3
491417.629666822	7053998.47070866	3
491417.742334146	7053998.19871206	3
491417.827798433	7053997.91698181	3
491417.885236602	7053997.62823116	3
491417.914095486	7053997.33524099	3
491417.914097154	7053997.04083297	3
491417.885241591	7053996.74784247	3
491417.827806694	7053996.45909117	3
491417.7423456	7053996.17735996	3
491417.629681358	7053995.90536208	3
491417.490899	7053995.64571706	3
491417.327335095	7053995.40092546	3
491417.140564872	7053995.17334479	3
491416.932387055	7053994.9651668	3
491416.704806539	7053994.77839639	3
491416.622437631	7053994.71730751	3
491416.564256851	7053994.65311473	3
491416.488052152	7053994.56024799	3
491416.279752027	7053994.35194786	3
491416.186885281	7053994.27574316	3
491416.123537987	7053994.21832868	3
491416.12	7053994.14633249	3
491416.12	7053993.81433	3
491416.104074803	7053993.50562696	3
491416.056468288	7053993.20020135	3
491415.977685882	7053992.90129583	3
491415.868564004	7053992.6120838	3
491415.730261177	7053992.33563578	3
491415.564245735	7053992.07488676	3
491415.37228023	7053991.83260505	3
491415.156402722	7053991.61136292	3
491414.918905137	7053991.41350924	3
491414.662308941	7053991.24114459	3
491414.504928941	7053991.14681459	3
491414.267429962	7053991.01861684	3
491414.019370659	7053990.91228241	3
491413.76275867	7053990.82867191	3
491413.499670855	7053990.76846203	3
491413.232236482	7053990.73214007	3
491412.96262	7053990.72	3
491411.193667508	7053990.72	3
491411.12167359	7053990.71646212	3
491411.092878079	7053990.68469039	3
491410.884700913	7053990.47650842	3
491410.657120507	7053990.28973416	3
491410.412328648	7053990.12616641	3
491410.152682884	7053989.98738045	3
491409.880683821	7053989.87471291	3
491409.598951034	7053989.78924887	3
491409.310197844	7053989.73181142	3
491409.017205184	7053989.70295374	3
491408.722794816	7053989.70295374	3
491408.429802156	7053989.73181142	3
491408.141048966	7053989.78924887	3
491407.859316179	7053989.87471291	3
491407.587317116	7053989.98738045	3
491407.327671352	7053990.12616641	3
491407.082879493	7053990.28973416	3
491406.855299087	7053990.47650842	3
491406.647121921	7053990.68469039	3
491406.617677401	7053990.71717821	3
491406.577715929	7053990.74112969	3
491406.343693398	7053990.89674136	3
491406.125259246	7053991.07356912	3
491405.924330394	7053991.27006119	3
491405.742670137	7053991.4844932	3
491405.581872676	7053991.71498336	3
491405.443349126	7053991.95950894	3
491405.328315131	7053992.21592407	3
491405.237780198	7053992.4819785	3
491405.172538838	7053992.75533743	3
491405.133163589	7053993.03360192	3
491405.12	7053993.31433	3
491405.12	7053993.64633249	3
491405.116462013	7053993.71832868	3
491405.11298773	7053993.72147758	3
491404.895240136	7053993.90017934	3
491404.687068759	7053994.10835078	3
491404.500303605	7053994.33592373	3
491404.336743236	7053994.58070664	3
491404.19796275	7053994.84034225	3
491404.085298615	7053995.11233023	3
491403.999835794	7053995.39405132	3
491403.9423973	7053995.68279254	3
491403.91353627	7053995.97577327	3
491403.913530639	7053996.2701721	3
491403.94238046	7053996.56315394	3
491403.999807908	7053996.85189735	3
491404.085259952	7053997.13362171	3
491404.146547271	7053997.30492318	3
491404.180438856	7053997.41662017	3
491404.293092142	7053997.68855103	3
491184.623615754	7054482.86724622	3
491184.652476408	7054483.16023145	3
491184.709915394	7054483.44897708	3
491184.795379556	7054483.7307024	3
491184.908045842	7054484.00269429	3
491185.046829234	7054484.26233336	3
491185.210393198	7054484.50711921	3
491185.397162553	7054484.73469444	3
491185.605338643	7054484.94286743	3
491185.832916656	7054485.1296334	3
491186.077704932	7054485.29319372	3
491186.337346072	7054485.43197325	3
491186.609339636	7054485.54463549	3
491186.891066228	7054485.63009545	3
491187.179812717	7054485.68753014	3
491187.472798371	7054485.71638644	3
491187.767201629	7054485.71638644	3
491188.060187283	7054485.68753014	3
491188.348933772	7054485.63009545	3
491188.630660364	7054485.54463549	3
491188.902653928	7054485.43197325	3
491189.162295068	7054485.29319372	3
491189.407083344	7054485.1296334	3
491189.634661357	7054484.94286743	3
491189.842837447	7054484.73469444	3
491190.029606802	7054484.50711921	3
491190.193170766	7054484.26233336	3
491190.331954158	7054484.00269429	3
491190.444620444	7054483.7307024	3
491190.530084606	7054483.44897708	3
491190.587523592	7054483.16023145	3
491190.616384246	7054482.86724622	3
491190.623594682	7054482.72051759	3
491190.626062622	7054482.71066584	3
491190.707360155	7054482.44140822	3
491190.765156004	7054482.144841	3
491190.792827712	7054481.84396437	3
491190.790094585	7054481.54183029	3
491190.75698435	7054481.24150349	3
491190.693832861	7054480.94603038	3
491190.601280705	7054480.6584081	3
491190.480266692	7054480.3815542	3
491190.332018343	7054480.11827697	3
491190.15803943	7054479.871247	3
491189.960094727	7054479.64297004	3
491189.740192108	7054479.43576167	3
491189.500562178	7054479.25172371	3
491189.24363565	7054479.09272298	3
491188.972018685	7054478.96037232	3
491188.688466461	7054478.85601424	3
491188.395855219	7054478.78070731	3
491188.097153093	7054478.73521541	3
491187.79539	7054478.72	3
491187.44461	7054478.72	3
491187.142846907	7054478.73521541	3
491186.844144781	7054478.78070731	3
491186.551533539	7054478.85601424	3
491186.267981315	7054478.96037232	3
491185.99636435	7054479.09272298	3
491185.739437822	7054479.25172371	3
491185.499807892	7054479.43576167	3
491185.279905273	7054479.64297004	3
491185.08196057	7054479.871247	3
491184.907981657	7054480.11827697	3
491184.759733308	7054480.3815542	3
491184.638719295	7054480.6584081	3
491184.546167139	7054480.94603038	3
491184.48301565	7054481.24150349	3
491184.449905415	7054481.54183029	3
491184.447172288	7054481.84396437	3
491184.474843996	7054482.144841	3
491184.532639845	7054482.44140822	3
491184.613937378	7054482.71066584	3
491184.616405318	7054482.72051759	3
491184.623615754	7054482.86724622	3
491184.778748852	7054493.53033268	3
491184.942316756	7054493.77513355	3
491185.129092621	7054494.00272245	3
491185.33727755	7054494.21090738	3
491185.564866444	7054494.39768324	3
491185.809667322	7054494.56125115	3
491186.069322426	7054494.70003571	3
491186.190409159	7054494.75730341	3
491186.30954638	7054494.82098339	3
491186.581559883	7054494.93365273	3
491186.863307616	7054495.01911582	3
491187.152075856	7054495.07654951	3
491187.44508326	7054495.10540061	3
491187.739507656	7054495.10539123	3
491188.032513222	7054495.07652146	3
491188.321277802	7054495.01906937	3
491188.603020089	7054494.93358833	3
491188.875026412	7054494.82090166	3
491189.134676876	7054494.68209474	3
491189.379470592	7054494.51850452	3
491189.60704977	7054494.33170665	3
491189.815222424	7054494.12350033	3
491190.001983488	7054493.89589095	3
491190.073994513	7054493.78809712	3
491190.133189279	7054493.70828308	3
491190.302175675	7054493.50191799	3
491190.468485747	7054493.25127682	3
491190.608860565	7054492.98524121	3
491190.721888892	7054492.7064857	3
491190.806434416	7054492.41781272	3
491190.861647173	7054492.12212439	3
491190.886972091	7054491.82239337	3
491190.882154568	7054491.52163295	3
491190.847243039	7054491.22286679	3
491190.782588479	7054490.92909847	3
491190.688840883	7054490.64328135	3
491190.566942728	7054490.36828885	3
491190.418119496	7054490.10688556	3
491190.243867357	7054489.86169945	3
491190.045938128	7054489.63519546	3
491189.826321657	7054489.42965072	3
491189.587225824	7054489.24713163	3
491189.331054338	7054489.08947312	3
491189.060382578	7054488.95826019	3
491188.7779317	7054488.85481195	3
491188.486541276	7054488.78016842	3
491188.189140754	7054488.73508001	3
491187.88872	7054488.72	3
491187.693667508	7054488.72	3
491187.606488681	7054488.71571592	3
491187.341062028	7054488.68958014	3
491187.04665865	7054488.68958699	3
491186.75367355	7054488.71845012	3
491186.464928284	7054488.77589156	3
491186.183203575	7054488.86135815	3
491185.911212538	7054488.9740268	3
491185.651574548	7054489.11281247	3
491185.406790014	7054489.27637861	3
491185.179216304	7054489.46315001	3
491184.971045036	7054489.67132799	3
491184.784280977	7054489.89890772	3
491184.620722735	7054490.14369753	3
491184.481945436	7054490.40334	3
491184.369285558	7054490.67533467	3
491184.283828057	7054490.95706213	3
491184.22639592	7054491.24580925	3
491184.197542241	7054491.53879528	3
491184.197544891	7054491.83319866	3
491184.226403844	7054492.12618417	3
491184.283841179	7054492.41493025	3
491184.369303751	7054492.69665618	3
491184.481968526	7054492.96864882	3
491184.613511022	7054493.21474483	3
491184.639964286	7054493.27067757	3
491184.778748852	7054493.53033268	3
492104.117426032	7054492.48499416	3
492103.828489047	7054492.39918965	3
492103.532400495	7054492.34281089	3
492103.232149128	7054492.31642697	3
492102.930765714	7054492.32030422	3
492102.631292453	7054492.35440349	3
492102.336752259	7054492.41838059	3
492102.050118255	7054492.51158973	3
492101.774283755	7054492.63309003	3
492101.512033064	7054492.78165506	3
492101.266013369	7054492.9557852	3
492101.038708019	7054493.15372275	3
492100.832411462	7054493.37346971	3
492100.649206075	7054493.61280792	3
492100.490941156	7054493.86932149	3
492100.359214248	7054494.14042113	3
492100.255355016	7054494.42337034	3
492100.180411827	7054494.715313	3
492100.135141166	7054495.01330219	3
492100.12	7054495.31433	3
492100.12	7054495.39539	3
492100.135215052	7054495.69714953	3
492100.180705875	7054495.9958482	3
492100.256011041	7054496.2884562	3
492100.360366699	7054496.5720055	3
492100.492714334	7054496.84361996	3
492100.651711493	7054497.10054449	3
492100.835745411	7054497.34017301	3
492101.042949364	7054497.56007489	3
492101.271221605	7054497.75801956	3
492101.518246685	7054497.93199922	3
492101.781518939	7054498.08024911	3
492102.058367898	7054498.20126549	3
492102.345985383	7054498.29382085	3
492102.641453982	7054498.35697635	3
492102.94177665	7054498.39009139	3
492103.243907103	7054498.39283008	3
492103.54478072	7054498.36516463	3
492103.84134563	7054498.30737566	3
492104.130593666	7054498.22004935	3
492104.215283666	7054498.18974935	3
492104.487286844	7054498.07709025	3
492104.746937502	7054497.93831223	3
492104.99173498	7054497.77475185	3
492105.219321665	7054497.58798434	3
492105.427505701	7054497.37980843	3
492105.614282095	7054497.15222904	3
492105.777852028	7054496.90743794	3
492105.91664018	7054496.6477927	3
492106.0293099	7054496.37579392	3
492106.114776083	7054496.09406119	3
492106.172215613	7054495.80530783	3
492106.201075299	7054495.51231479	3
492106.201077197	7054495.21790385	3
492106.172221289	7054494.92491044	3
492106.114785482	7054494.63615634	3
492106.029322933	7054494.3544225	3
492105.916656719	7054494.08242227	3
492105.777871915	7054493.82277524	3
492105.614305139	7054493.57798203	3
492105.42753168	7054493.35040023	3
492105.219350328	7054493.14222164	3
492104.991766051	7054492.95545119	3
492104.746970682	7054492.79188766	3
492104.662280682	7054492.74112766	3
492104.396294888	7054492.5993583	3
492104.117426032	7054492.48499416	3
491889.572408683	7053925.30422804	4
491889.74594508	7053925.55408376	4
491889.943892766	7053925.78508046	4
491890.164216339	7053925.99484291	4
491890.404650314	7053926.18121422	4
491890.662722421	7053926.34227803	4
491890.935779029	7053926.47637818	4
491891.221012422	7053926.5821358	4
491891.515489682	7053926.65846342	4
491891.816182837	7053926.70457621	4
491892.12	7053926.72	4
491893.546332497	7053926.72	4
491893.747743381	7053926.72989759	4
491893.794116957	7053926.734425	4
491894.092443592	7053926.73377979	4
491894.389231099	7053926.70350813	4
491894.681544605	7053926.64390938	4
491894.966493482	7053926.55557289	4
491895.241259925	7053926.4393722	4
491895.503126825	7053926.29645641	4
491895.686326825	7053926.18430641	4
491895.939066239	7053926.01125127	4
491896.172841829	7053925.81332638	4
491896.385216476	7053925.59259509	4
491896.573976168	7053925.35135855	4
491896.737153079	7053925.09213165	4
491896.873046084	7053924.81761683	4
491896.980238496	7053924.53067594	4
491897.057612828	7053924.23430033	4
491897.104362451	7053923.93157972	4
491897.12	7053923.62567	4
491897.12	7053923.29365533	4
491897.12902544	7053923.10996192	4
491897.129027578	7053922.8155616	4
491897.100173988	7053922.52257863	4
491897.042742535	7053922.23383449	4
491896.957286292	7053921.95210984	4
491896.84462822	7053921.68011773	4
491896.705853234	7053921.42047749	4
491896.542297762	7053921.17568951	4
491896.35553687	7053920.94811113	4
491896.147369098	7053920.73993397	4
491896.122583977	7053920.71746898	4
491896.11852243	7053920.71298774	4
491895.939820666	7053920.49524015	4
491895.731649229	7053920.28706877	4
491895.504076281	7053920.10030361	4
491895.259293367	7053919.93674324	4
491894.999657764	7053919.79796276	4
491894.727669782	7053919.68529862	4
491894.445948687	7053919.5998358	4
491894.157207472	7053919.5423973	4
491893.864226737	7053919.51353627	4
491893.56982791	7053919.51353064	4
491893.276846071	7053919.54238046	4
491892.988102659	7053919.59980791	4
491892.706378294	7053919.68525995	4
491892.619300237	7053919.71641427	4
491892.546332492	7053919.72	4
491891.94461	7053919.72	4
491891.642846907	7053919.73521541	4
491891.344144781	7053919.78070731	4
491891.051533539	7053919.85601424	4
491890.767981315	7053919.96037232	4
491890.49636435	7053920.09272298	4
491890.239437822	7053920.25172371	4
491889.999807892	7053920.43576167	4
491889.779905273	7053920.64297004	4
491889.58196057	7053920.871247	4
491889.407981657	7053921.11827697	4
491889.259733308	7053921.3815542	4
491889.138719295	7053921.6584081	4
491889.046167139	7053921.94603038	4
491888.98301565	7053922.24150349	4
491888.949905415	7053922.54183029	4
491888.947172288	7053922.84396437	4
491888.974843996	7053923.144841	4
491889.032639845	7053923.44140822	4
491889.113937378	7053923.71066584	4
491889.116405318	7053923.72051759	4
491889.123615754	7053923.86724622	4
491889.153932935	7053924.16994018	4
491889.214748787	7053924.46800761	4
491889.305437969	7053924.75838364	4
491889.425067967	7053925.03808245	4
491889.572408683	7053925.30422804	4
491154.834383816	7053997.15165543	4
491154.973168087	7053997.41131471	4
491155.136736395	7053997.65611958	4
491155.323513323	7053997.88371219	4
491155.531699919	7053998.09190046	4
